"","lm_age","sex","risk_class","crossed","Total","N","riskgr_pct","riskgr_pct_total","cross_pct"
"1",40,"female","Very_high",TRUE,544,226864,0.00239791240567036,0.00239791240567036,1
"2",40,"female","High",FALSE,65,226864,0.000286515269059877,0.00298857465265534,0.0958702064896755
"3",40,"female","High",TRUE,613,226864,0.00270205938359546,0.00298857465265534,0.904129793510325
"4",40,"female","Medium_high",FALSE,1007,226864,0.00443878270681995,0.00915085690105085,0.485067437379576
"5",40,"female","Medium_high",TRUE,1069,226864,0.0047120741942309,0.00915085690105085,0.514932562620424
"6",40,"female","Medium_low",FALSE,10958,226864,0.048302066436279,0.0537017772762536,0.899450053353033
"7",40,"female","Medium_low",TRUE,1225,226864,0.00539971083997461,0.0537017772762536,0.100549946646967
"8",40,"female","Low",FALSE,211162,226864,0.930786726849566,0.93176087876437,0.998954504383039
"9",40,"female","Low",TRUE,221,226864,0.000974151914803583,0.93176087876437,0.00104549561696068
"10",40,"male","Very_high",TRUE,929,192717,0.0048205399627433,0.0048205399627433,1
"11",40,"male","High",FALSE,17,192717,8.82122490491238e-05,0.006538084341288,0.0134920634920635
"12",40,"male","High",TRUE,1243,192717,0.00644987209223888,0.006538084341288,0.986507936507937
"13",40,"male","Medium_high",FALSE,170,192717,0.000882122490491238,0.0213992538281522,0.0412221144519884
"14",40,"male","Medium_high",TRUE,3954,192717,0.0205171313376609,0.0213992538281522,0.958777885548012
"15",40,"male","Medium_low",FALSE,21318,192717,0.110618160307601,0.166586237851357,0.664029404435584
"16",40,"male","Medium_low",TRUE,10786,192717,0.0559680775437559,0.166586237851357,0.335970595564416
"17",40,"male","Low",FALSE,153151,192717,0.794693773771904,0.800655884016459,0.992553467271549
"18",40,"male","Low",TRUE,1149,192717,0.00596211024455549,0.800655884016459,0.00744653272845107
"19",45,"female","Very_high",TRUE,2021,232647,0.00868698070467274,0.00868698070467274,1
"20",45,"female","High",FALSE,55,232647,0.000236409667865908,0.00981315039523398,0.0240911081909768
"21",45,"female","High",TRUE,2228,232647,0.00957674072736807,0.00981315039523398,0.975908891809023
"22",45,"female","Medium_high",FALSE,2050,232647,0.00881163307500204,0.0283820552167017,0.310464940178707
"23",45,"female","Medium_high",TRUE,4553,232647,0.0195704221416997,0.0283820552167017,0.689535059821293
"24",45,"female","Medium_low",FALSE,27866,232647,0.119778032813662,0.132892321843823,0.901316427855225
"25",45,"female","Medium_low",TRUE,3051,232647,0.0131142890301616,0.132892321843823,0.0986835721447747
"26",45,"female","Low",FALSE,190046,232647,0.816885667986262,0.820225491839568,0.995928163795769
"27",45,"female","Low",TRUE,777,232647,0.00333982385330565,0.820225491839568,0.00407183620423115
"28",45,"male","Very_high",TRUE,6259,206114,0.0303666902781956,0.0303666902781956,1
"29",45,"male","High",FALSE,81,206114,0.000392986405581377,0.0336803904635299,0.0116681071737252
"30",45,"male","High",TRUE,6861,206114,0.0332874040579485,0.0336803904635299,0.988331892826275
"31",45,"male","Medium_high",FALSE,2258,206114,0.0109551025160833,0.10602870256266,0.103322046307312
"32",45,"male","Medium_high",TRUE,19596,206114,0.0950736000465762,0.10602870256266,0.896677953692688
"33",45,"male","Medium_low",FALSE,89708,206114,0.435234870023385,0.508325489777502,0.856212955627881
"34",45,"male","Medium_low",TRUE,15065,206114,0.0730906197541167,0.508325489777502,0.143787044372119
"35",45,"male","Low",FALSE,66203,206114,0.321196037144493,0.321598726918113,0.998747850224784
"36",45,"male","Low",TRUE,83,206114,0.000402689773620424,0.321598726918113,0.00125214977521649
"37",50,"female","Very_high",TRUE,4928,211212,0.0233320076510804,0.0233320076510804,1
"38",50,"female","High",FALSE,784,211212,0.00371191030812643,0.0276783516088101,0.13410879233664
"39",50,"female","High",TRUE,5062,211212,0.0239664413006837,0.0276783516088101,0.86589120766336
"40",50,"female","Medium_high",FALSE,8462,211212,0.0400640115144973,0.0770789538473193,0.51977886977887
"41",50,"female","Medium_high",TRUE,7818,211212,0.037014942332822,0.0770789538473193,0.48022113022113
"42",50,"female","Medium_low",FALSE,54043,211212,0.255870878548567,0.279155540404901,0.916588931666695
"43",50,"female","Medium_low",TRUE,4918,211212,0.0232846618563339,0.279155540404901,0.0834110683333051
"44",50,"female","Low",FALSE,125159,211212,0.592575232467852,0.592755146487889,0.99969647835012
"45",50,"female","Low",TRUE,38,211212,0.00017991402003674,0.592755146487889,0.000303521649879789
"46",50,"male","Very_high",TRUE,18774,187547,0.100102907537844,0.100102907537844,1
"47",50,"male","High",FALSE,98,187547,0.000522535684388447,0.115736322095261,0.00451488067815351
"48",50,"male","High",TRUE,21608,187547,0.115213786410873,0.115736322095261,0.995485119321846
"49",50,"male","Medium_high",FALSE,3522,187547,0.0187792926573072,0.293899662484604,0.0638969521044993
"50",50,"male","Medium_high",TRUE,51598,187547,0.275120369827297,0.293899662484604,0.936103047895501
"51",50,"male","Medium_low",FALSE,68586,187547,0.365700331117,0.451865399073299,0.809312533924905
"52",50,"male","Medium_low",TRUE,16160,187547,0.086165067956299,0.451865399073299,0.190687466075095
"53",50,"male","Low",FALSE,7197,187547,0.038374380821874,0.0383957088089919,0.999444521594223
"54",50,"male","Low",TRUE,4,187547,2.13279871178958e-05,0.0383957088089919,0.000555478405776975
"55",55,"female","Very_high",TRUE,7221,180063,0.0401026307459056,0.0401026307459056,1
"56",55,"female","High",FALSE,136,180063,0.000755291203634284,0.0478776872539056,0.015775432084445
"57",55,"female","High",TRUE,8485,180063,0.0471223960502713,0.0478776872539056,0.984224567915555
"58",55,"female","Medium_high",FALSE,11904,180063,0.0661101947651655,0.132770197097682,0.497929476722299
"59",55,"female","Medium_high",TRUE,12003,180063,0.066660002332517,0.132770197097682,0.502070523277701
"60",55,"female","Medium_low",FALSE,76400,180063,0.424295940865142,0.438124434225799,0.968437064266701
"61",55,"female","Medium_low",TRUE,2490,180063,0.0138284933606571,0.438124434225799,0.0315629357332995
"62",55,"female","Low",FALSE,61408,180063,0.341036192888045,0.341125050676708,0.999739515498828
"63",55,"female","Low",TRUE,16,180063,8.88577886628569e-05,0.341125050676708,0.00026048450117218
"64",55,"male","Very_high",TRUE,43935,156170,0.281328039956458,0.281328039956458,1
"65",55,"male","High",FALSE,48,156170,0.00030735736697189,0.267221617468144,0.0011501964919007
"66",55,"male","High",TRUE,41684,156170,0.266914260101172,0.267221617468144,0.998849803508099
"67",55,"male","Medium_high",FALSE,4603,156170,0.0294742908369085,0.380444387526414,0.0774733227858754
"68",55,"male","Medium_high",TRUE,54811,156170,0.350970096689505,0.380444387526414,0.922526677214125
"69",55,"male","Medium_low",FALSE,7608,156170,0.0487161426650445,0.0702183517961196,0.693780776946927
"70",55,"male","Medium_low",TRUE,3358,156170,0.0215022091310751,0.0702183517961196,0.306219223053073
"71",55,"male","Low",FALSE,121,156170,0.000774796695908305,0.000787603252865467,0.983739837398374
"72",55,"male","Low",TRUE,2,156170,1.28065569571621e-05,0.000787603252865467,0.016260162601626
"73",60,"female","Very_high",TRUE,16566,160374,0.103296045493659,0.103296045493659,1
"74",60,"female","High",FALSE,10,160374,6.23542469477596e-05,0.118080237444972,0.000528066747636901
"75",60,"female","High",TRUE,18927,160374,0.118017883198025,0.118080237444972,0.999471933252363
"76",60,"female","Medium_high",FALSE,1185,160374,0.00738897826330951,0.272064050282465,0.0271589658965897
"77",60,"female","Medium_high",TRUE,42447,160374,0.264675072019155,0.272064050282465,0.97284103410341
"78",60,"female","Medium_low",FALSE,62090,160374,0.387157519298639,0.472264830957637,0.819789012265808
"79",60,"female","Medium_low",TRUE,13649,160374,0.0851073116589971,0.472264830957637,0.180210987734192
"80",60,"female","Low",FALSE,5448,160374,0.0339705937371394,0.0342948358212678,0.990545454545455
"81",60,"female","Low",TRUE,52,160374,0.00032424208412835,0.0342948358212678,0.00945454545454546
"82",60,"male","Very_high",TRUE,81385,134997,0.602865248857382,0.602865248857382,1
"83",60,"male","High",FALSE,83,134997,0.000614828477669874,0.30759202056342,0.00199884404199981
"84",60,"male","High",TRUE,41441,134997,0.30697719208575,0.30759202056342,0.998001155958
"85",60,"male","Medium_high",FALSE,1333,134997,0.00987429350281858,0.083875937983807,0.117724984544732
"86",60,"male","Medium_high",TRUE,9990,134997,0.0740016444809885,0.083875937983807,0.882275015455268
"87",60,"male","Medium_low",FALSE,631,134997,0.00467417794469507,0.00566679259539101,0.824836601307189
"88",60,"male","Medium_low",TRUE,134,134997,0.000992614650695941,0.00566679259539101,0.17516339869281
"89",65,"female","Very_high",TRUE,31942,126330,0.252845721522995,0.252845721522995,1
"90",65,"female","High",FALSE,19,126330,0.000150399746695163,0.221435921792132,0.000679202116250804
"91",65,"female","High",TRUE,27955,126330,0.221285522045437,0.221435921792132,0.999320797883749
"92",65,"female","Medium_high",FALSE,452,126330,0.00357793081611652,0.374273727538985,0.00955966329681486
"93",65,"female","Medium_high",TRUE,46830,126330,0.370695796722869,0.374273727538985,0.990440336703185
"94",65,"female","Medium_low",FALSE,5617,126330,0.0444629145887754,0.151397134489037,0.293683990379588
"95",65,"female","Medium_low",TRUE,13509,126330,0.106934219900261,0.151397134489037,0.706316009620412
"96",65,"female","Low",FALSE,6,126330,4.74946568511043e-05,4.74946568511043e-05,1
"97",65,"male","Very_high",TRUE,93962,99065,0.948488366224196,0.948488366224196,1
"98",65,"male","High",TRUE,4865,99065,0.0491091707464796,0.0491091707464796,1
"99",65,"male","Medium_high",TRUE,237,99065,0.00239236864684803,0.00239236864684803,1
